TITLE,ASSIGNMENT,RACE/ETHNICITY,GENDER,AGE,YEARS_IN_SERVICE,DEGREE,CITY_RESIDENT?,AGENCY
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,33,12,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,27,6,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,33,11,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,39,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,44,21,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,40,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,45,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,40,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,OTHER HISPANIC,FEMALE,56,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,51,13,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,45,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,45,25,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,OTHER HISPANIC,MALE,33,9,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,WHITE,MALE,38,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,29,7,3 YEARS COLLEGE,YES,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,35,14,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,34,7,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,39,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER (EID),COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,31,8,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER (EID),COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,37,6,MASTERS COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,37,16,HGH SCHOOL GRADUATE,YES,BPD
POLICE SERGEANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,45,25,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,46,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,26,5,,NO,BPD
POLICE SERGEANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,MALE,35,15,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE SERGEANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,FEMALE,36,10,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,DDU - ADVANCED TECHNICAL TEAM,WHITE,MALE,43,23,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU - ADVANCED TECHNICAL TEAM,WHITE,MALE,38,16,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU - ADVANCED TECHNICAL TEAM,WHITE,MALE,39,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU - ADVANCED TECHNICAL TEAM,OTHER HISPANIC,MALE,33,7,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,DDU - ADVANCED TECHNICAL TEAM,AFRICAN AMERICAN,MALE,34,11,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,DDU - ADVANCED TECHNICAL TEAM,WHITE,FEMALE,52,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU - ADVANCED TECHNICAL TEAM,WHITE,MALE,27,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU - ADVANCED TECHNICAL TEAM,WHITE,MALE,43,19,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,DDU - ADVANCED TECHNICAL TEAM,WHITE,MALE,33,12,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE SERGEANT,DDU - ADVANCED TECHNICAL TEAM,WHITE,MALE,42,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
CAPTAIN,DDU - CITY WIDE ROBBERY UNIT,AFRICAN AMERICAN,MALE,46,18,5 YEARS COLLEGE,NO,BPD
POLICE LIEUTENANT,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,43,13,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,37,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,44,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,44,11,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,50,21,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,47,18,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,43,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,31,4,,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,55,2,,YES,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,AFRICAN AMERICAN,MALE,37,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,48,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,AFRICAN AMERICAN,MALE,47,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,43,16,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,AFRICAN AMERICAN,FEMALE,28,10,HGH SCHOOL GRADUATE,YES,BPD
POLICE SERGEANT,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,31,8,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE SERGEANT,DDU - CITY WIDE ROBBERY UNIT,WHITE,MALE,47,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-CD,AFRICAN AMERICAN,MALE,51,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-CD,AFRICAN AMERICAN,FEMALE,43,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-CD,OTHER HISPANIC,FEMALE,33,6,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-CD,WHITE,FEMALE,48,18,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU-CD,AFRICAN AMERICAN,MALE,40,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-CD,WHITE,MALE,39,8,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-CD,AFRICAN AMERICAN,MALE,35,3,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU-CD,WHITE,MALE,30,6,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-CD,WHITE,MALE,48,22,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU-CD,AFRICAN AMERICAN,FEMALE,28,5,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,DDU-CD,WHITE,MALE,42,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-CD,WHITE,MALE,50,9,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,DDU-CD,WHITE,MALE,60,33,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-ED,AFRICAN AMERICAN,FEMALE,38,13,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,DDU-ED,AFRICAN AMERICAN,MALE,43,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-ED,OTHER HISPANIC,MALE,40,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-ED,AFRICAN AMERICAN,MALE,49,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-ED,AFRICAN AMERICAN,MALE,44,11,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,DDU-ED,AFRICAN AMERICAN,MALE,39,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-ED,AFRICAN AMERICAN,MALE,47,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-ED,AFRICAN AMERICAN,MALE,30,5,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-ND,WHITE,MALE,44,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-ND,WHITE,MALE,43,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-ND,AFRICAN AMERICAN,MALE,40,13,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-ND,AFRICAN AMERICAN,MALE,34,8,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU-ND,WHITE,MALE,30,8,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU-ND,WHITE,MALE,48,15,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,DDU-ND,AFRICAN AMERICAN,FEMALE,46,28,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU-ND,WHITE,MALE,42,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,DDU-ND,AFRICAN AMERICAN,MALE,43,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,DDU-ND,AFRICAN AMERICAN,MALE,54,32,HGH SCHOOL GRADUATE,NO,BPD
POLICE LIEUTENANT,DDU-NED,AFRICAN AMERICAN,MALE,38,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-NED,WHITE,MALE,32,11,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU-NED,EAST-INDIAN,MALE,28,5,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-NED,WHITE,MALE,28,6,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,DDU-NED,AFRICAN AMERICAN,MALE,35,6,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE SERGEANT,DDU-NED,OTHER ASIAN,MALE,34,12,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,DDU-NED,WHITE,MALE,37,10,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,DDU-NED,WHITE,MALE,37,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,DDU-NED,AFRICAN AMERICAN,MALE,44,24,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU-NWD,WHITE,MALE,48,24,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-NWD,WHITE,FEMALE,28,6,,NO,BPD
POLICE OFFICER,DDU-NWD,AFRICAN AMERICAN,MALE,37,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-NWD,OTHER HISPANIC,MALE,39,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-NWD,AFRICAN AMERICAN,FEMALE,50,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-NWD,AFRICAN AMERICAN,MALE,42,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-NWD,WHITE,MALE,34,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,DDU-NWD,AFRICAN AMERICAN,MALE,45,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE LIEUTENANT,DDU-SD,WHITE,MALE,40,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SD,WHITE,MALE,32,7,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SD,WHITE,FEMALE,,5,5 YEARS COLLEGE,NO,BPD
POLICE OFFICER,DDU-SD,AFRICAN AMERICAN,FEMALE,40,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-SD,AFRICAN AMERICAN,MALE,46,11,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SD,WHITE,MALE,60,13,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,DDU-SD,WHITE,MALE,39,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SD,OTHER HISPANIC,MALE,43,12,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU-SD,AFRICAN AMERICAN,MALE,44,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-SD,WHITE,MALE,28,5,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-SD,WHITE,MALE,50,11,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SD,WHITE,MALE,30,6,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,DDU-SD,WHITE,FEMALE,39,14,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,DDU-SD,WHITE,FEMALE,51,20,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,DDU-SED,WHITE,MALE,46,11,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SED,WHITE,MALE,36,10,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU-SED,AFRICAN AMERICAN,MALE,40,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU-SED,WHITE,MALE,25,4,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU-SED,WHITE,MALE,46,18,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,DDU-SED,WHITE,MALE,32,7,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SED,WHITE,MALE,42,17,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,DDU-SED,WHITE,MALE,33,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-SED,OTHER HISPANIC,MALE,36,5,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,DDU-SED,WHITE,MALE,39,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,DDU-SED,WHITE,MALE,34,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE LIEUTENANT,DDU-SWD,WHITE,MALE,42,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SWD,WHITE,MALE,31,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-SWD,AFRICAN AMERICAN,FEMALE,35,7,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU-SWD,AFRICAN AMERICAN,MALE,32,7,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,DDU-SWD,WHITE,MALE,33,5,,NO,BPD
POLICE OFFICER,DDU-SWD,WHITE,MALE,41,17,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU-SWD,WHITE,MALE,35,12,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SWD,AFRICAN AMERICAN,MALE,60,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-SWD,WHITE,MALE,28,6,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-SWD,AFRICAN AMERICAN,MALE,46,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-SWD,WHITE,FEMALE,41,12,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE SERGEANT,DDU-SWD,WHITE,MALE,37,11,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,DDU-SWD,WHITE,MALE,62,33,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-WD,WHITE,MALE,32,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-WD,WHITE,MALE,36,13,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,DDU-WD,AFRICAN AMERICAN,MALE,44,14,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,DDU-WD,WHITE,MALE,38,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-WD,AFRICAN AMERICAN,MALE,31,7,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-WD,WHITE,MALE,29,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-WD,AFRICAN AMERICAN,MALE,41,7,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,DDU-WD,WHITE,MALE,48,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,DDU-WD,AFRICAN AMERICAN,MALE,49,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DDU-WD,WHITE,MALE,31,6,5 YEARS COLLEGE,NO,BPD
POLICE SERGEANT,DDU-WD,AFRICAN AMERICAN,MALE,47,27,HGH SCHOOL GRADUATE,NO,BPD
POLICE LIEUTENANT EID,DEPLOYMENT UNIT,WHITE,MALE,38,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,DEPLOYMENT UNIT,WHITE,FEMALE,32,5,,NO,BPD
POLICE OFFICER,DEPLOYMENT UNIT,WHITE,MALE,48,5,,YES,BPD
POLICE OFFICER,DEPLOYMENT UNIT,AFRICAN AMERICAN,MALE,40,14,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,DEPLOYMENT UNIT,AFRICAN AMERICAN,FEMALE,32,10,3 YEARS COLLEGE,YES,BPD
POLICE OFFICER,DEPLOYMENT UNIT,WHITE,MALE,42,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER (EID),DEPLOYMENT UNIT,WHITE,MALE,30,4,,YES,BPD
POLICE LIEUTENANT COLONEL,DEPUTY COMM/CRIME REDUCTION BUR,WHITE,MALE,41,19,1 YEAR COLLEGE OR LESS,NO,BPD
CAPTAIN,DOJ COMPLIANCE UNIT,AFRICAN AMERICAN,FEMALE,51,23,3 YEARS COLLEGE,NO,BPD
CAPTAIN,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,41,18,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,44,20,DOCTORATE COMPLETED & RECEIVED,YES,BPD
POLICE LIEUTENANT,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,46,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,EASTERN DISTRICT,WHITE,MALE,40,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE LIEUTENANT,EASTERN DISTRICT,OTHER HISPANIC,MALE,45,18,4 YEARS COLLEGE,NO,BPD
POLICE MAJOR/DIRECTOR,EASTERN DISTRICT,WHITE,MALE,40,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,28,2,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,23,2,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,37,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,26,3,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,32,2,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,26,2,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,27,3,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,29,1,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,24,1,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,32,9,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,44,16,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,47,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,32,8,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,OTHER HISPANIC,MALE,36,8,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,33,6,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,OTHER HISPANIC,MALE,37,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,50,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,32,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,40,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,FEMALE,45,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,38,5,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,50,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,49,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,34,8,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,51,25,5 YEARS COLLEGE,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,FEMALE,26,3,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,21,3,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,24,1,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,47,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,OTHER HISPANIC,MALE,39,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,26,4,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,FEMALE,21,1,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,22,1,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,27,3,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,28,1,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,FEMALE,31,2,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,28,1,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,29,4,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,25,2,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,25,1,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,28,1,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,27,1,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,31,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,35,6,5 YEARS COLLEGE,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,26,3,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,30,3,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,26,1,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,23,1,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,23,1,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,27,4,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,25,3,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,25,2,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,22,1,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,OTHER HISPANIC,MALE,27,2,,NO,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,22,1,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,25,1,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,WHITE,MALE,25,3,,YES,BPD
POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,MALE,27,6,HGH SCHOOL GRADUATE,NO,BPD
